d_loss,g_loss
0.231238276,9.79265976
0.196139157,8.172063828
0.287982315,6.403042316
1.097687244,2.953253269
1.538629174,2.982933521
1.194281697,3.263679028
1.189434409,2.475240707
2.032249212,2.973643064
1.190962791,2.771120787
1.351156473,3.849709511
1.433314204,2.408383131
1.801768303,1.847928524
1.036547661,2.588504076
0.959823251,2.653981447
0.797166646,2.960967541
0.664106309,2.990360737
2.428774118,2.666918755
1.197515726,2.303426743
1.109594464,3.040935516
0.929928422,2.696485758
1.106485963,2.258187532
1.110436916,2.679900408
0.732898593,2.856847286
0.635493517,2.886185408
0.926702142,2.601140738
0.656291962,3.488931656
1.23116374,2.32296896
0.800033689,3.010585785
0.704909742,3.367009401
1.392578721,3.102502346
1.115361333,2.53093195
2.796011448,2.538246155
0.67770052,3.80999589
1.577117085,1.982515097
0.979293108,2.782147408
2.892366171,4.809584618
1.440156579,1.957308292
1.175816298,1.914848804
0.514912009,3.508088589
0.617292523,3.485967398
0.487978637,3.511927366
0.588971317,3.214015007
0.489863932,3.818393707
1.141911745,4.312492371
0.995395362,2.927604198
1.82672286,4.348498344
0.396874815,4.253323555
0.15167886,6.372233391
0.997714102,2.228451729
1.107288957,2.135109186
1.104651809,2.275420189
1.294677854,3.01402998
0.994403243,2.907300949
1.387322307,3.480648279
0.939835846,2.533425808
1.067349195,3.764583588
0.980576813,3.198778629
2.154167652,5.455053329
0.974567294,2.870686054
1.206639767,4.649255753
0.439204991,4.033662319
0.842482448,2.206263304
1.01191926,2.330377579
0.805205941,3.035310268
2.130458117,4.737417221
1.171846867,1.915585876
0.849805892,3.998390675
1.069267511,2.656412601
0.442460626,3.87666893
0.842997193,3.802687168
2.737016916,3.620501518
2.281607389,3.247778893
0.749863327,3.64817214
1.1052984,2.902785778
0.686734855,3.030207872
2.493085623,7.064889908
0.753952861,3.13461256
0.623568892,2.891875267
1.022184491,3.677079439
0.853178024,4.006155968
0.850480795,2.363429546
0.655565977,2.747416973
0.474224538,3.720328331
0.353568941,5.674467564
0.358243227,3.583108664
0.851764321,2.420997858
0.50050807,3.563302994
0.633687615,3.43918705
0.970998526,3.265456915
0.686166883,4.322259903
0.916341066,2.676706314
1.538244486,6.305490494
0.61033237,5.439636707
0.372369081,4.543699265
0.462715745,3.613974571
0.704897165,3.790318966
0.671651959,4.66607666
0.882237315,4.637666225
0.613560915,3.605070114
0.39563331,3.405945301
0.463199347,3.43998003
0.974549651,2.293200493
0.228259668,4.893287659
1.32106328,6.742990494
0.497874141,3.614236832
1.186604619,4.594268799
0.809319258,3.063061237
0.243060052,4.076019287
0.620383143,4.038388252
1.706743836,4.028043747
0.426821709,4.397755623
0.526274204,2.980897903
0.977469206,3.463666439
0.194514304,4.878867149
0.278802514,4.785562515
0.363709241,5.229987621
0.499872267,2.883021832
0.513619304,6.882390022
2.829674244,5.60666275
0.475769043,3.715133667
0.707847774,4.632380009
0.676117778,4.909030437
0.986014962,2.569542646
0.827312052,4.57453537
0.282070786,4.570436954
2.804383993,8.637158394
1.034942508,3.903095722
0.405410469,4.56259203
1.296195149,3.571112394
1.137154579,6.535831451
0.542628765,2.827169895
0.714884162,2.908040047
0.733393848,2.687863827
0.217256755,5.850740433
0.531294405,3.367269039
0.1718539,4.37156105
0.60322535,4.254878521
0.367680758,4.685642719
0.686465621,3.024193287
0.87724328,2.909518957
1.982887149,1.684395313
0.849239707,2.718504906
0.735647798,4.63255167
0.251788378,4.720376015
0.190154269,5.353408337
0.333959609,3.466115713
0.201704979,4.99282074
0.388222873,3.582657337
0.155288696,5.659739971
0.110934108,5.664012909
0.536263168,4.981039047
0.376419604,6.161432743
0.235776484,4.075404644
0.321495295,4.716584206
0.265850902,3.632795095
0.098529719,5.314383507
0.380168587,3.565941334
0.105256528,5.525231361
0.323458433,6.495165825
0.877099812,3.557837009
0.497958034,3.092612028
2.877166986,1.860036492
0.602870941,2.443160534
0.515909314,5.197547913
0.284136266,4.766654968
0.63370055,2.960211277
0.497241497,4.67351675
0.565557063,6.241887569
0.218963996,4.359453201
0.485505104,5.461709023
0.300527602,3.83645606
0.239982039,4.85999918
1.022236943,2.487137556
0.332052827,5.866634369
0.349580973,5.148044109
0.659406424,6.826367378
1.4398669,4.722883224
0.251417398,3.912790775
0.431776553,6.119483948
0.506859839,4.478061676
0.128000841,6.21381855
0.698099852,6.21796751
0.222919032,4.100023746
0.277546465,8.039439201
1.69214046,9.969370842
0.428840369,5.30143261
0.260380447,4.601595879
0.324648082,4.972319126
0.774852931,5.897274494
1.444282293,3.437103271
0.709405839,7.768577099
0.436659634,4.035906315
0.217473418,4.870139599
0.805941641,5.824015141
0.356640726,5.765816689
0.488164514,4.442887783
0.777036011,5.251189709
0.386080474,3.556411743
0.262582302,4.584978104
1.906421065,7.254859447
1.039642811,3.828696489
0.294378817,4.202248573
0.292118669,3.655420065
0.174855143,4.342844009
2.570944786,4.871250629
0.478207052,2.966104984
0.162763834,5.848402023
0.198658437,6.466428757
0.555020094,4.491570473
1.25852716,4.426386833
1.303080559,5.699709892
0.510456324,5.913196564
1.12220645,6.332345009
0.29892236,6.63917923
1.448045731,6.170640945
0.681618154,5.005586624
0.497565389,3.321897984
0.765950322,3.549301147
0.979057193,4.778598785
0.210953578,5.316408157
0.899603903,6.711040497
0.653259337,6.419293404
0.246954307,4.68663311
0.289394736,5.395528316
1.192189932,4.693902969
0.452853531,5.665132999
0.163005188,6.793103218
0.373517931,6.504812241
0.323478252,5.213771343
0.184576273,5.697925568
0.670103967,5.02173233
0.276195616,5.883280754
0.248462975,4.271478653
0.298139781,4.875442028
0.636400938,6.614547253
0.333266973,3.624233484
1.132185578,2.329338074
0.406678945,5.473331928
0.146410346,4.362193108
0.2944749,5.364135265
0.736545384,8.269957542
0.761670947,2.552561283
0.426986367,5.671022892
0.555217266,3.432973385
0.386058152,3.572081804
0.202518791,7.390862942
1.051049232,8.329696655
1.114351511,7.756804466
0.615964413,3.817085028
0.324774474,4.75122261
1.542531967,7.862939358
0.709015965,4.628340721
0.363122731,6.240703583
0.633725107,6.524847984
0.447751105,3.434421062
0.265416175,3.732088089
1.610797405,6.964958668
0.229118854,6.205103874
0.295381159,4.48363781
1.497686148,6.346332073
0.540165663,6.744682312
0.229554266,4.17158556
0.497641891,3.937913895
0.401808739,3.151844978
1.136067748,5.168712616
0.615749776,6.12561655
1.301150322,5.237865448
0.282476306,4.453155994
0.330914795,4.510621548
1.239183664,6.210573196
0.116586238,4.217397213
0.587311685,4.824702263
1.715428352,8.698140144
1.416363597,6.143749237
0.358520627,5.632376671
0.168631017,4.269978523
0.190250903,5.407852173
0.852923572,4.124198914
0.443687022,5.622442245
0.31975764,3.780311108
0.468637288,6.491892338
0.151914656,8.432605743
